,x,y,vx,vy,E_total,E_kin,E_pot
52,12.526388786226196,-91.40433501098586,1.278206283323208,12.492255530306709,-61643.05020492522,7096.061679174247,-68739.11188409946
53,12.808205144942525,-88.40325593402669,0.9790397624835108,11.498488487482332,-61981.07429334492,5992.819035897937,-67973.89332924286
54,13.017273938323557,-85.66343635060545,0.6962189813797608,10.404566979844933,-62237.3357198906,4893.288070865084,-67130.62379075568
55,13.157650487861694,-83.20815748961996,0.42939545142588886,9.224411491860096,-62421.26513754105,3837.336652118963,-66258.60178966001
56,13.233231619332868,-81.057325113693,0.17766321176809635,7.971105679487921,-62544.741288145044,2860.654048667115,-65405.39533681216
57,13.247626615081314,-79.22767649191458,-0.06035788921783272,6.656921443348121,-62620.825009091415,1994.321077996449,-64615.146087087865
58,13.204049560176093,-77.73297608976144,-0.28643411701932825,5.293382660455937,-62662.55645291206,1264.58750220337,-63927.14395511543
59,13.105234528341718,-76.58419130717846,-0.502622436322794,3.8913600123139966,-62681.87492658389,692.7890426519152,-63374.66396923581
60,12.953376468383803,-75.78964113623842,-0.711156408495066,2.4611926947328815,-62688.703482016026,295.34458130775465,-62984.04806332378
61,12.750108634661128,-75.35510996266731,-0.914236361437685,1.0128584582958993,-62690.23180593997,83.77696715023635,-62774.0087730902
62,12.496600551399565,-75.28387244935321,-1.1130325082736805,-0.4431153321296666,-62690.51862354741,64.58366529190734,-62755.10228883931
63,12.194102491456391,-75.57590355939507,-1.3057702875046575,-1.8894973713724355,-62691.57399172484,237.38563620690027,-62928.95962793174
64,11.844344014100027,-76.2256852324474,-1.4910024621087345,-3.300679609976929,-62696.79376225608,590.2908403379292,-63287.084602594005
65,11.449262551630785,-77.22112188661241,-1.6683021215602987,-4.6505204413682275,-62712.29736293249,1098.4757554973849,-63810.773118429875
66,11.010879311574216,-78.54380488092879,-1.8373617634087962,-5.914840358923358,-62746.05822423888,1726.2555624533375,-64472.31378669221
67,10.531298759581865,-80.16961693346404,-1.9978101992285326,-7.07226227317216,-62806.50091801371,2430.3662663704104,-65236.86718438413
68,10.012730863019698,-82.06950783524294,-2.149171958419665,-8.104775313761703,-62901.013445412565,3163.784534703834,-66064.7979801164
69,9.457517889153417,-84.2103835727648,-2.290865901492255,-8.998079160246041,-63034.64667014577,3879.6072818703315,-66914.25395201611
70,8.868158727005598,-86.55605463083806,-2.4222246520402653,-9.741715067539177,-63209.20839240985,4534.568312493214,-67743.77670490307
71,8.247326661973585,-89.06819223998808,-2.5425263286521655,-10.32900282825653,-63422.8684307715,5091.873280110938,-68514.74171088243
72,7.597878392229141,-91.70724791282336,-2.651031846558959,-10.756816417564174,-63670.290639536615,5523.168118169158,-69193.45875770578
73,6.922853623084103,-94.43330096100003,-2.747022164593701,-11.025239378104995,-63943.21993583154,5809.591535277874,-69752.81147110942
74,6.225465813502601,-97.20680937262964,-2.8298312487676625,-11.137143460231668,-64231.39216343494,5941.975920762732,-70173.36808419767
75,5.509085508694702,-99.98925007606108,-2.8988721129306194,-11.097731444505532,-64523.60761022297,5920.339623367216,-70443.94723359018
76,4.777218159407502,-102.74364413637281,-2.9536548089821735,-10.91407893077021,-64808.81250757407,5752.8538036967575,-70561.66631127082
77,4.0334784503894845,-105.43497014636135,-2.993796458983582,-10.594701851136415,-65077.05880015901,5454.473604853321,-70531.53240501233
78,3.281563025736304,-108.03047470526492,-3.019024246839884,-10.149168037108002,-65320.25086517787,5045.405366180781,-70365.65623135865
79,2.525223208086579,-110.49989247179627,-3.0291727155356014,-9.587763438391232,-65532.62945476549,4549.549279099364,-70082.17873386486
80,1.7682389547425577,-112.81559009727361,-3.024176804928631,-8.921217204541762,-65710.98107865453,3993.0192791136124,-69704.00035776813
81,1.014394952286366,-114.95264876638907,-3.0040618881198466,-8.160485065248372,-65854.59132027673,3402.8056947508153,-69257.39701502754
82,0.26745948179663914,-116.88889950352724,-2.9689316682986564,-7.316587273252514,-65964.98170272807,2805.6152060166287,-68770.5969087447
83,-0.4688334546231444,-118.60492422631634,-2.9189541547659346,-6.400495668265227,-66045.48204846754,2226.8987170698265,-68272.38076553737
