,x,y,vx,vy,E_total,E_kin,E_pot
52,21.419972276115153,-43.88408738843009,1.6298276413535533,29.28244437309323,0.13232441350555746,38705.30489717188,-38705.172572758376
53,21.82715570944222,-36.869436548727606,1.6287337333082712,26.83360335880993,2.433889660089335,32521.27692563784,-32518.843035977752
54,22.234339142769286,-30.467285709025123,1.6287337333082712,24.383603358809932,2.433889660085697,26874.57988502025,-26872.145995360162
55,22.641522576096353,-24.67763486932264,1.6287337333082712,21.933603358809933,2.433889660089335,21768.10784440266,-21765.67395474257
56,23.04870600942342,-19.50048402962016,1.6287337333082712,19.483603358809933,2.433889660089335,17201.86080378507,-17199.426914124982
57,23.455889442750486,-14.935833189917677,1.6287337333082712,17.033603358809934,2.433889660087516,13175.83876316748,-13173.404873507392
58,23.863072876077553,-10.983682350215194,1.6287337333082712,14.583603358809935,2.433889660089335,9690.041722549891,-9687.607832889802
59,24.27025630940462,-7.6440315105127095,1.6287337333082712,12.133603358809935,2.433889660091154,6744.469681932302,-6742.0357922722105
60,24.677439742731686,-4.916880670810226,1.6287337333082712,9.683603358809936,2.4338896600920634,4339.1226413147115,-4336.688751654619
61,25.084623176058752,-2.802229831107742,1.6287337333082712,7.233603358809937,2.433889660092973,2474.0006006971216,-2471.5667110370287
62,25.49180660938582,-1.3000789914052577,1.6287337333082712,4.783603358809938,2.433889660092973,1149.1035600795306,-1146.6696704194376
63,25.898990042712885,-0.41042815170277325,1.6287337333082712,2.333603358809938,2.4338896600934277,364.4315194619395,-361.9976298018461
64,26.30617347603995,-0.1332773120002888,1.6287337333082712,-0.11639664119006188,2.433889660093456,119.9844788443482,-117.55058918425475
65,26.71335690936702,-0.46862647229780424,1.6287337333082712,-2.5663966411900616,2.433889660093371,415.7624382267568,-413.3285485666634
66,27.120540342694085,-1.4164756325953196,1.6287337333082712,-5.016396641190061,2.433889660092973,1251.7653976091651,-1249.3315079490721
67,27.52772377602115,-2.9768247928928346,1.6287337333082712,-7.466396641190061,2.433889660092973,2627.9933569915734,-2625.5594673314804
68,27.934907209348218,-5.14967395319035,1.6287337333082712,-9.91639664119006,2.4338896600920634,4544.446316373981,-4542.012426713889
69,28.342090642675284,-7.9350231134878655,1.6287337333082712,-12.36639664119006,2.433889660089335,7001.124275756388,-6998.690386096298
70,28.74927407600235,-11.33287227378538,1.6287337333082712,-14.816396641190059,2.433889660089335,9998.027235138796,-9995.593345478706
71,29.156457509329417,-15.343221434082896,1.6287337333082712,-17.26639664119006,2.433889660089335,13535.155194521205,-13532.721304861116
